iter,after_test,test_sec,gap_sec,stale_bs_test
38,bs_test_day19_stress_fail_ci,25.04,0.002,
38,bs_test_attach_day19_shortcoming_regression,5.55,0,
38,bs_test_attach_recover_cold,0.06,0.001,
39,bs_test_reload_per_batch_parallel_exec,0.04,0,
39,bs_test_day19_stress_reload_loop,25.04,0,
39,bs_test_day19_stress_fail_ci,25.04,0.001,
39,bs_test_attach_day19_shortcoming_regression,5.74,0,
39,bs_test_attach_recover_cold,0.06,0.002,
40,bs_test_reload_per_batch_parallel_exec,0.04,0,
40,bs_test_day19_stress_reload_loop,25.04,0,
40,bs_test_day19_stress_fail_ci,25.04,0.001,
40,bs_test_attach_day19_shortcoming_regression,5.18,0.001,
40,bs_test_attach_recover_cold,0.06,0.001,
41,bs_test_reload_per_batch_parallel_exec,0.04,0,
41,bs_test_day19_stress_reload_loop,25.05,0.001,
41,bs_test_day19_stress_fail_ci,25.04,0,
41,bs_test_attach_day19_shortcoming_regression,6.65,0.002,
41,bs_test_attach_recover_cold,0.06,0.001,
42,bs_test_reload_per_batch_parallel_exec,0.04,0,
42,bs_test_day19_stress_reload_loop,25.05,0.001,
42,bs_test_day19_stress_fail_ci,25.04,0.001,
42,bs_test_attach_day19_shortcoming_regression,5.58,0.002,
42,bs_test_attach_recover_cold,0.06,0,
43,bs_test_reload_per_batch_parallel_exec,0.04,0,
43,bs_test_day19_stress_reload_loop,25.04,0.001,
43,bs_test_day19_stress_fail_ci,25.05,0.001,
43,bs_test_attach_day19_shortcoming_regression,5.27,0.001,
43,bs_test_attach_recover_cold,0.06,0.001,
44,bs_test_reload_per_batch_parallel_exec,0.04,0,
44,bs_test_day19_stress_reload_loop,25.05,0.001,
44,bs_test_day19_stress_fail_ci,25.05,0.001,
44,bs_test_attach_day19_shortcoming_regression,7.22,0.001,
44,bs_test_attach_recover_cold,0.06,0,
45,bs_test_reload_per_batch_parallel_exec,0.04,0,
45,bs_test_day19_stress_reload_loop,25.05,0.002,
45,bs_test_day19_stress_fail_ci,25.05,0.001,
45,bs_test_attach_day19_shortcoming_regression,5.06,0.002,
45,bs_test_attach_recover_cold,0.06,0.001,
46,bs_test_reload_per_batch_parallel_exec,0.04,0,
46,bs_test_day19_stress_reload_loop,25.04,0.001,
46,bs_test_day19_stress_fail_ci,25.05,0,
46,bs_test_attach_day19_shortcoming_regression,5.6,0,
46,bs_test_attach_recover_cold,0.06,0.001,
47,bs_test_reload_per_batch_parallel_exec,0.04,0,
47,bs_test_day19_stress_reload_loop,25.05,0.001,
47,bs_test_day19_stress_fail_ci,25.05,0,
47,bs_test_attach_day19_shortcoming_regression,6.03,0.001,
47,bs_test_attach_recover_cold,0.06,0,
48,bs_test_reload_per_batch_parallel_exec,0.04,0,
48,bs_test_day19_stress_reload_loop,25.05,0.001,
48,bs_test_day19_stress_fail_ci,25.05,0.001,
48,bs_test_attach_day19_shortcoming_regression,6.25,0.001,
48,bs_test_attach_recover_cold,0.08,0,
49,bs_test_reload_per_batch_parallel_exec,0.06,0,
49,bs_test_day19_stress_reload_loop,25.04,0,
49,bs_test_day19_stress_fail_ci,25.06,0.001,
49,bs_test_attach_day19_shortcoming_regression,6.61,0.001,
49,bs_test_attach_recover_cold,0.06,0.001,
50,bs_test_reload_per_batch_parallel_exec,0.04,0,
50,bs_test_day19_stress_reload_loop,25.05,0,
50,bs_test_day19_stress_fail_ci,25.05,0.001,
50,bs_test_attach_day19_shortcoming_regression,6.75,0,
50,bs_test_attach_recover_cold,0.06,0.001,
51,bs_test_reload_per_batch_parallel_exec,0.04,0,
51,bs_test_day19_stress_reload_loop,25.05,0.002,
51,bs_test_day19_stress_fail_ci,25.06,0,
51,bs_test_attach_day19_shortcoming_regression,5.63,0.001,
51,bs_test_attach_recover_cold,0.06,0,
52,bs_test_reload_per_batch_parallel_exec,0.04,0,
52,bs_test_day19_stress_reload_loop,25.05,0.001,
52,bs_test_day19_stress_fail_ci,25.04,0.001,
52,bs_test_attach_day19_shortcoming_regression,5.9,0,
52,bs_test_attach_recover_cold,0.06,0,
53,bs_test_reload_per_batch_parallel_exec,0.04,0,
53,bs_test_day19_stress_reload_loop,25.05,0.002,
